#{"t_start": 1787938173.2998667, "env_id": "None"}
r,l,t
4.75,2,152.392858
4.9,1,152.414358
4.45,4,152.443211
3.85,8,152.48908
4.75,2,152.518857
4.75,2,152.545925
4.15,6,152.582816
-3.4,9,152.617883
4.6,3,152.644847
-3.4,9,152.682292
3.55,10,152.717045
4.45,4,152.748554
4.75,2,152.779699
3.4,11,152.820139
3.7,9,152.852859
4.6,3,152.879637
3.55,10,152.92182
4.9,1,152.952468
4.45,4,152.982276
4.15,6,153.016296
4.6,3,153.042033
4.9,1,153.070888
4.6,3,153.103369
4.45,4,153.132661
4.9,1,153.155855
4.45,4,153.185706
4.75,2,153.21254
4.45,4,153.243446
4.3,5,153.282045
4.6,3,153.306084
4.15,6,153.339736
4.45,4,153.368515
4.75,2,153.402194
4.6,3,153.427737
4.0,7,153.463347
4.0,7,153.497148
4.75,2,153.521971
4.75,2,153.547197
4.45,4,153.573929
4.6,3,153.600277
-1.75,15,153.642677
4.45,4,153.671943
4.3,5,153.70006
4.45,4,153.729554
4.3,5,153.758411
4.45,4,153.78409
4.45,4,153.813252
4.6,3,153.838148
4.45,4,153.867655
4.15,6,153.895994
-1.75,15,153.937471
3.55,10,153.974063
4.45,4,154.145001
3.85,8,154.180043
-3.4,9,154.21978
4.0,7,154.253395
4.45,4,154.283125
4.0,7,154.316647
4.3,5,154.351131
4.0,7,154.381639
4.75,2,154.407253
4.6,3,154.436901
4.9,1,154.463807
4.9,1,154.487386
4.3,5,154.518867
4.75,2,154.548421
4.9,1,154.574106
4.0,7,154.604517
4.9,1,154.631418
4.45,4,154.658682
3.85,8,154.692235
4.45,4,154.721472
4.6,3,154.753875
4.75,2,154.779571
4.6,3,154.807909
-3.45,10,154.851067
4.75,2,154.874254
4.0,7,154.91101
4.3,5,154.944574
3.7,9,154.988119
4.15,6,155.019755
4.75,2,155.047684
4.6,3,155.075078
4.75,2,155.1046
4.45,4,155.132864
-1.75,15,155.176982
3.4,11,155.21616
3.4,11,155.251671
3.55,10,155.296011
4.6,3,155.320862
4.45,4,155.346025
4.3,5,155.380055
4.6,3,155.414769
3.4,11,155.453566
4.3,5,155.488409
4.6,3,155.521442
4.75,2,155.548148
-1.75,15,155.604923
4.45,4,155.636799
4.9,1,155.662693
4.3,5,155.692083
4.75,2,155.887213
4.75,2,155.911588
3.85,8,155.945888
-3.3,7,155.978311
4.0,7,156.010373
3.4,11,156.048266
4.15,6,156.079108
4.75,2,156.103009
4.15,6,156.134756
4.6,3,156.16152
4.3,5,156.191792
3.85,8,156.230555
-3.55,12,156.274922
4.3,5,156.315924
4.6,3,156.344078
-3.25,6,156.38217
4.0,7,156.420085
-1.75,15,156.473493
-1.75,15,156.527107
3.25,12,156.570955
-1.75,15,156.625813
4.45,4,156.658281
4.75,2,156.684798
3.7,9,156.718688
4.75,2,156.749419
4.3,5,156.783218
3.1,13,156.828729
-1.75,15,156.870019
4.6,3,156.895588
4.15,6,156.923337
4.3,5,156.952436
3.55,10,156.990476
4.15,6,157.025525
4.6,3,157.051717
4.6,3,157.081099
4.45,4,157.114392
4.75,2,157.140207
4.6,3,157.169927
4.75,2,157.196237
3.4,11,157.396226
4.3,5,157.422856
-3.3,7,157.458546
3.4,11,157.504854
3.85,8,157.542892
4.75,2,157.572966
4.0,7,157.611819
4.0,7,157.643756
4.0,7,157.681808
3.85,8,157.717394
4.6,3,157.7449
4.15,6,157.77823
4.75,2,157.808607
4.75,2,157.839127
4.45,4,157.877828
4.6,3,157.906327
4.75,2,157.93546
4.45,4,157.967237
4.45,4,157.997255
3.85,8,158.036394
3.55,10,158.081688
4.6,3,158.106405
4.15,6,158.138408
4.15,6,158.171583
4.6,3,158.203136
3.4,11,158.240715
3.7,9,158.274335
4.3,5,158.303847
3.1,13,158.351791
4.75,2,158.372944
3.55,10,158.415132
3.25,12,158.449528
4.9,1,158.471236
4.75,2,158.493199
3.7,9,158.527822
-1.75,15,158.573415
3.85,8,158.607933
3.7,9,158.644722
3.4,11,158.680117
4.45,4,158.862808
4.6,3,158.892318
4.3,5,158.919307
4.3,5,158.948651
3.55,10,158.986509
3.7,9,159.023244
3.25,12,159.059727
-1.75,15,159.110757
4.3,5,159.141269
3.25,12,159.182804
4.75,2,159.216277
4.75,2,159.243963
4.9,1,159.273103
4.3,5,159.303083
3.55,10,159.349504
3.55,10,159.388939
4.75,2,159.414871
-1.75,15,159.464206
4.45,4,159.49522
-1.75,15,159.54607
-1.75,15,159.597679
4.0,7,159.635491
4.6,3,159.673129
4.3,5,159.7079
4.45,4,159.751906
3.7,9,159.797645
4.75,2,159.834651
4.45,4,159.867531
4.3,5,159.902369
-1.75,15,159.948789
4.75,2,159.977035
3.85,8,160.01347
4.15,6,160.04496
4.75,2,160.06938
4.75,2,160.095593
4.6,3,160.124763
3.7,9,160.164069
3.7,9,160.198708
4.45,4,160.395195
-3.2,5,160.426389
4.6,3,160.456967
4.3,5,160.483928
4.75,2,160.504869
4.6,3,160.533787
4.15,6,160.568169
4.45,4,160.600857
4.0,7,160.636265
3.55,10,160.671464
4.45,4,160.697653
4.0,7,160.728596
4.75,2,160.754292
4.45,4,160.787963
4.45,4,160.820652
4.75,2,160.850285
4.45,4,160.878539
4.0,7,160.914279
4.6,3,160.949018
4.15,6,160.979898
4.6,3,161.007799
4.6,3,161.036196
4.3,5,161.073543
4.75,2,161.104138
4.15,6,161.137793
4.6,3,161.166771
4.45,4,161.19769
4.15,6,161.229072
4.75,2,161.255762
3.25,12,161.298228
4.45,4,161.329716
4.9,1,161.353962
3.7,9,161.398592
4.3,5,161.428673
4.45,4,161.455922
-1.75,15,161.499842
4.0,7,161.533039
4.6,3,161.560822
4.45,4,161.587535
3.7,9,161.622208
4.15,6,161.652758
4.45,4,161.677309
4.45,4,161.703991
4.45,4,161.730586
4.15,6,161.761898
4.0,7,161.791484
4.6,3,161.818985
4.75,2,161.848457
4.3,5,161.874692
4.75,2,161.904747
4.75,2,161.927611
-3.35,8,161.959036
4.3,5,161.987544
4.6,3,162.173083
3.7,9,162.205487
3.25,12,162.247598
4.6,3,162.272354
-1.75,15,162.316053
4.9,1,162.336632
3.55,10,162.373815
4.6,3,162.403729
4.6,3,162.43285
-1.75,15,162.481767
-1.75,15,162.530069
4.0,7,162.564735
4.6,3,162.590171
3.85,8,162.625356
4.75,2,162.652417
4.6,3,162.681316
4.6,3,162.710492
4.6,3,162.743403
3.85,8,162.776457
4.45,4,162.806234
4.15,6,162.839421
4.75,2,162.871885
-1.75,15,162.915821
4.3,5,162.945428
3.55,10,162.982231
-1.75,15,163.024736
4.75,2,163.049061
4.15,6,163.079298
3.7,9,163.113223
4.0,7,163.145901
3.4,11,163.193451
3.55,10,163.232276
4.45,4,163.26088
4.45,4,163.289026
-1.75,15,163.338336
-1.75,15,163.544831
4.15,6,163.574738
3.7,9,163.613242
4.75,2,163.638883
4.75,2,163.662454
-1.75,15,163.702545
4.3,5,163.733992
3.25,12,163.770358
4.15,6,163.802864
4.45,4,163.834944
4.45,4,163.864351
4.6,3,163.895112
4.75,2,163.917145
3.25,12,163.953784
4.3,5,163.98313
4.75,2,164.011551
4.15,6,164.044549
3.25,12,164.087403
4.6,3,164.112434
3.1,13,164.15609
4.75,2,164.19169
3.7,9,164.230696
